,發生時間,事故類別名稱,發生地點,事故類型及型態子類別名稱,肇因研判子類別名稱-主要,死亡受傷人數,經度,緯度,車種,機車,,小客車,人,慢車,小貨車,軍車,大貨車,曳引車,大客車,半聯結車,特種車,全聯結車,其他車,日期,時間,死亡,受傷,縣市
248762,2022-09-09 17:54:21,A2,連江縣南竿鄉福澳加油站往全家福運店單行道路段,穿越道路中,未注意車前狀態,死亡0;受傷2,119.943559,26.157921,1: 機車 (普通重型); 2: 人 (行人),普通重型,,,行人,,,,,,,,,,,2022-09-09,17:54:21,0,2,連江縣
257570,2022-09-18 15:08:02,A2,連江縣北竿鄉白沙港區周邊路段,路上翻車、摔倒,其他引起事故之違規或不當行為,死亡0;受傷2,119.968854,26.204814,1: 機車 (普通重型); 2:  (); 3: 人 (乘客),普通重型,,,乘客,,,,,,,,,,,2022-09-18,15:08:02,0,2,連江縣
266715,2022-09-27 11:14:00,A2,連江縣北竿鄉環島東路段,撞護欄(樁),其他引起事故之違規或不當行為,死亡0;受傷2,119.99844,26.228818,1: 機車 (普通重型); 2:  (); 3: 人 (乘客),普通重型,,,乘客,,,,,,,,,,,2022-09-27,11:14:00,0,2,連江縣
268874,2022-09-29 12:00:00,A2,連江縣南竿鄉介壽村環山路前0.0公尺附近,撞路樹、電桿,其他引起事故之違規或不當行為,死亡0;受傷1,119.948034,26.159015,1: 小貨車(含客、貨兩用) (自用); 2:  (),,,,,,自用,,,,,,,,,2022-09-29,12:00:00,0,1,連江縣
273960,2022-10-04 14:53:00,A2,連江縣南竿鄉憲兵連往馬祖軍醫院之戰備道路段,對向擦撞,未保持行車安全間隔,死亡0;受傷1,119.924291,26.145097,1: 小客車 (計程車); 2: 機車 (普通重型),普通重型,,計程車,,,,,,,,,,,,2022-10-04,14:53:00,0,1,連江縣
276523,2022-10-06 18:57:00,A2,連江縣南竿鄉福沃村中華電信對面單行道,撞工程施工,尚未發現肇事因素,死亡0;受傷1,119.941964,26.157606,1: 機車 (普通重型); 2:  (); 3: 人 (其他人),普通重型,,,其他人,,,,,,,,,,,2022-10-06,18:57:00,0,1,連江縣
291749,2022-10-21 13:50:00,A2,連江縣南竿鄉清水路工寮前路段,路上翻車、摔倒,不明原因肇事,死亡0;受傷1,119.937855,26.14962,1: 機車 (普通重型); 2:  (),普通重型,,,,,,,,,,,,,,2022-10-21,13:50:00,0,1,連江縣
293662,2022-10-23 11:45:00,A2,連江縣南竿鄉福沃村140號右前方海堤道路,對向擦撞,未注意車前狀態,死亡0;受傷1,119.942872,26.159302,1: 小客車 (自用); 2: 機車 (普通重型),普通重型,,自用,,,,,,,,,,,,2022-10-23,11:45:00,0,1,連江縣
308720,2022-11-06 13:15:22,A2,連江縣南竿鄉儲水澳上霸前路段,路上翻車、摔倒,其他引起事故之違規或不當行為,死亡0;受傷1,119.917467,26.153435,1: 機車 (普通重型); 2:  (); 3: 人 (乘客),普通重型,,,乘客,,,,,,,,,,,2022-11-06,13:15:22,0,1,連江縣
316649,2022-11-13 06:47:43,A2,連江縣南竿鄉清水村117號前路段,同向擦撞,其他引起事故之故障,死亡0;受傷1,119.938256,26.14871,1: 機車 (普通重型); 2: 機車 (普通重型),普通重型,,,,,,,,,,,,,,2022-11-13,06:47:43,0,1,連江縣
334925,2022-11-29 08:20:39,A2,連江縣南竿鄉中央大道清潭澳前路段,側撞,其他交通管制不當,死亡0;受傷1,119.945542,26.154101,1: 大貨車 (自用); 2: 機車 (普通重型),普通重型,,,,,,,自用,,,,,,,2022-11-29,08:20:39,0,1,連江縣
