,發生時間,事故類別名稱,發生地點,事故類型及型態子類別名稱,肇因研判子類別名稱-主要,死亡受傷人數,經度,緯度,車種,機車,,小客車,人,慢車,小貨車,軍車,大貨車,曳引車,大客車,半聯結車,特種車,全聯結車,其他車,日期,時間,死亡,受傷,縣市
26809,2022-01-24 12:58:00,A2,澎湖縣馬公市前寮里88號之2北側道路,路上翻車、摔倒,未注意車前狀態,死亡0;受傷1,119.585021,23.556522,1: 機車 (普通重型); 2:  (),普通重型,,,,,,,,,,,,,,2022-01-24,12:58:00,0,1,澎湖縣
27142,2022-01-24 18:06:00,A2,澎湖縣馬公市陽明里新店路口 / 澎湖縣馬公市陽明里永順街口,穿越道路中,搶越行人穿越道,死亡0;受傷1,119.575062,23.568207,1: 小客車 (計程車); 2: 人 (行人),,,計程車,行人,,,,,,,,,,,2022-01-24,18:06:00,0,1,澎湖縣
27153,2022-01-24 18:14:00,A2,澎湖縣馬公市澎22號道0.6公里處,對撞,未靠右行駛,死亡0;受傷2,119.599069,23.566017,1: 慢車 (腳踏自行車); 2: 機車 (普通重型),普通重型,,,,腳踏自行車,,,,,,,,,,2022-01-24,18:14:00,0,2,澎湖縣
27156,2022-01-24 18:15:00,A2,澎湖縣馬公市澎22號道0.6公里處,其他,未注意車前狀態,死亡0;受傷3,119.599137,23.56607,1: 機車 (普通重型); 2: 機車 (普通重型); 3: 人 (乘客),普通重型,,,乘客,,,,,,,,,,,2022-01-24,18:15:00,0,3,澎湖縣
27794,2022-01-25 11:38:00,A2,澎湖縣湖西鄉西溪村縣202線道路口 / 澎湖縣湖西鄉西溪村澎13號道路口,路上翻車、摔倒,未注意車前狀態,死亡0;受傷1,119.638255,23.581502,1: 機車 (普通重型); 2:  (),普通重型,,,,,,,,,,,,,,2022-01-25,11:38:00,0,1,澎湖縣
28188,2022-01-25 16:34:00,A2,澎湖縣馬公市朝陽里中華路口 / 澎湖縣馬公市朝陽里朝陽路口,側撞,未依規定讓車,死亡0;受傷1,119.578468,23.57245,1: 機車 (普通重型); 2: 機車 (普通重型),普通重型,,,,,,,,,,,,,,2022-01-25,16:34:00,0,1,澎湖縣
29201,2022-01-26 13:51:00,A2,澎湖縣馬公市縣202線 5公里900.0公尺處東側向外側,其他,未注意車前狀態,死亡0;受傷1,119.644774,23.582376,1: 小客車 (自用); 2: 小客車 (自用),,,自用,,,,,,,,,,,,2022-01-26,13:51:00,0,1,澎湖縣
29954,2022-01-27 08:56:00,A2,澎湖縣馬公市光明里文光路口 / 澎湖縣馬公市光明里文光路口,其他,未注意車前狀態,死亡0;受傷1,119.570378,23.573586,1: 小客車 (自用); 2:  (),,,自用,,,,,,,,,,,,2022-01-27,08:56:00,0,1,澎湖縣
30383,2022-01-27 15:04:00,A2,澎湖縣馬公市長安里中正路口 / 澎湖縣馬公市長安里民生路口,側撞,逆向行駛,死亡0;受傷3,119.565533,23.567583,1: 機車 (普通重型); 2: 機車 (普通重型); 3: 人 (乘客),普通重型,,,乘客,,,,,,,,,,,2022-01-27,15:04:00,0,3,澎湖縣
31403,2022-01-28 14:06:00,A2,澎湖縣馬公市中興里中正路口 / 澎湖縣馬公市中興里民生路口,其他,未依規定讓車,死亡0;受傷1,119.566016,23.567624,1: 小客車 (計程車); 2: 機車 (普通重型),普通重型,,計程車,,,,,,,,,,,,2022-01-28,14:06:00,0,1,澎湖縣
31789,2022-01-28 18:43:00,A2,澎湖縣馬公市中興里文化路18-1號北側,其他,未注意車前狀態,死亡0;受傷1,119.567547,23.568315,1: 機車 (普通重型); 2: 機車 (普通重型),普通重型,,,,,,,,,,,,,,2022-01-28,18:43:00,0,1,澎湖縣
32035,2022-01-28 23:50:00,A2,澎湖縣馬公市縣201線 1公里450.0公尺處,撞路樹、電桿,未注意車前狀態,死亡0;受傷2,119.605688,23.540976,1: 小客車 (自用); 2:  (); 3: 人 (乘客),,,自用,乘客,,,,,,,,,,,2022-01-28,23:50:00,0,2,澎湖縣
32398,2022-01-29 12:15:00,A2,澎湖縣馬公市陽明里光復路口 / 澎湖縣馬公市陽明里大智街口,側撞,左轉彎未依規定,死亡0;受傷1,119.570539,23.571559,1: 機車 (普通重型); 2: 機車 (普通重型),普通重型,,,,,,,,,,,,,,2022-01-29,12:15:00,0,1,澎湖縣
32931,2022-01-30 01:43:00,A2,澎湖縣馬公市陽明里海埔路口 / 澎湖縣馬公市陽明里新店路口,側撞,未依規定讓車,死亡0;受傷3,119.573582,23.569202,1: 小客車 (計程車); 2: 小客車 (自用); 3: 人 (乘客),,,自用,乘客,,,,,,,,,,,2022-01-30,01:43:00,0,3,澎湖縣
33104,2022-01-30 10:23:00,A2,澎湖縣馬公市陽明里新營路口 / 澎湖縣馬公市陽明里北辰街口,側撞,未依規定讓車,死亡0;受傷1,119.57347,23.567276,1: 小客車 (自用); 2: 機車 (普通重型),普通重型,,自用,,,,,,,,,,,,2022-01-30,10:23:00,0,1,澎湖縣
34659,2022-02-01 14:28:00,A2,澎湖縣馬公市重慶里民權路口 / 澎湖縣馬公市重慶里中興路口,路口交岔撞,未依規定讓車,死亡0;受傷2,119.567759,23.566575,1: 機車 (普通重型); 2: 小客車 (自用); 3: 人 (乘客); 4: 機車 (普通重型),普通重型,,自用,乘客,,,,,,,,,,,2022-02-01,14:28:00,0,2,澎湖縣
34735,2022-02-01 16:30:00,A2,澎湖縣西嶼鄉內垵村91之2號前道路(內垵段),對向擦撞,未靠右行駛,死亡0;受傷1,119.504947,23.574398,1: 小客車 (自用); 2: 小客車 (自用),,,自用,,,,,,,,,,,,2022-02-01,16:30:00,0,1,澎湖縣
