,發生時間,事故類別名稱,發生地點,事故類型及型態子類別名稱,肇因研判子類別名稱-主要,死亡受傷人數,經度,緯度,車種,機車,,小客車,人,慢車,小貨車,軍車,大貨車,曳引車,大客車,半聯結車,特種車,全聯結車,其他車,日期,時間,死亡,受傷,縣市
192241,2022-07-15 13:10:00,A2,澎湖縣湖西鄉縣202線 5公里800.0公尺處附近,同向擦撞,未保持行車安全間隔,死亡0;受傷4,119.644193,23.58234,1: 機車 (普通重型); 2: 機車 (普通重型); 3: 人 (乘客); 4: 人 (乘客),普通重型,,,乘客,,,,,,,,,,,2022-07-15,13:10:00,0,4,澎湖縣
192364,2022-07-15 15:43:00,A2,澎湖縣馬公市重慶里光明路口 / 澎湖縣馬公市重慶里建國路口,路口交岔撞,未依規定讓車,死亡0;受傷2,119.566127,23.566189,1: 機車 (普通重型); 2: 機車 (普通重型),普通重型,,,,,,,,,,,,,,2022-07-15,15:43:00,0,2,澎湖縣
192562,2022-07-15 18:07:00,A2,澎湖縣馬公市縣204線 4公里300.0公尺處西側向外側,其他,超速失控,死亡0;受傷1,119.616994,23.548919,1: 小客車 (自用); 2:  (),,,自用,,,,,,,,,,,,2022-07-15,18:07:00,0,1,澎湖縣
193318,2022-07-16 13:37:00,A2,澎湖縣白沙鄉澎8號道5.2公里處(後寮段),衝出路外,未注意車前狀態,死亡0;受傷1,119.56413,23.661784,1: 機車 (普通重型); 2:  (),普通重型,,,,,,,,,,,,,,2022-07-16,13:37:00,0,1,澎湖縣
193357,2022-07-16 14:27:00,A2,澎湖縣湖西鄉縣204線 6公里150.0公尺處口,側撞,逆向行駛,死亡0;受傷1,119.631637,23.558091,1: 機車 (普通重型); 2: 小客車 (自用),普通重型,,自用,,,,,,,,,,,,2022-07-16,14:27:00,0,1,澎湖縣
193658,2022-07-16 19:54:00,A2,澎湖縣馬公市山水里山水119-6號前道路,穿越道路中,未注意車前狀態,死亡0;受傷1,119.590461,23.516129,1: 機車 (普通重型); 2: 人 (行人),普通重型,,,行人,,,,,,,,,,,2022-07-16,19:54:00,0,1,澎湖縣
193848,2022-07-17 06:48:00,A2,澎湖縣湖西鄉縣202線 7公里80.0公尺處,其他,未注意車前狀態,死亡0;受傷1,119.656769,23.58415,1: 小客車 (自用); 2:  (),,,自用,,,,,,,,,,,,2022-07-17,06:48:00,0,1,澎湖縣
194032,2022-07-17 10:46:00,A2,澎湖縣馬公市朝陽里光復路口 / 澎湖縣馬公市朝陽里朝陽路口,路口交岔撞,違反號誌管制或指揮,死亡0;受傷2,119.573426,23.574358,1: 機車 (普通重型); 2: 機車 (普通重型),普通重型,,,,,,,,,,,,,,2022-07-17,10:46:00,0,2,澎湖縣
194190,2022-07-17 13:22:00,A2,澎湖縣馬公市西文里新店路口 / 澎湖縣馬公市西文里文德路口,路上翻車、摔倒,未注意車前狀態,死亡0;受傷1,119.58057,23.563477,1: 機車 (普通重型); 2:  (),普通重型,,,,,,,,,,,,,,2022-07-17,13:22:00,0,1,澎湖縣
194252,2022-07-17 14:22:00,A2,澎湖縣馬公市縣203線 5公里520.0公尺處口,撞路樹、電桿,未注意車前狀態,死亡0;受傷1,119.604865,23.579703,1: 小貨車(含客、貨兩用) (自用); 2:  (),,,,,,自用,,,,,,,,,2022-07-17,14:22:00,0,1,澎湖縣
195248,2022-07-18 15:28:00,A2,澎湖縣馬公市縣204線 1公里900.0公尺處東側向外側,側撞,左轉彎未依規定,死亡0;受傷1,119.596779,23.559817,1: 小貨車(含客、貨兩用) (自用); 2: 機車 (普通重型),普通重型,,,,,自用,,,,,,,,,2022-07-18,15:28:00,0,1,澎湖縣
195332,2022-07-18 16:38:00,A2,澎湖縣馬公市陽明里永安街口 / 澎湖縣馬公市陽明里大勇街口,側撞,未注意車前狀態,死亡0;受傷1,119.571962,23.571838,1: 機車 (普通重型); 2: 小客車 (計程車),普通重型,,計程車,,,,,,,,,,,,2022-07-18,16:38:00,0,1,澎湖縣
195619,2022-07-18 20:48:11,A2,澎湖縣白沙鄉縣道203線13公里處(鎮海段),衝出路外,未注意車前狀態,死亡0;受傷1,119.597368,23.641477,1: 機車 (普通重型); 2:  (),普通重型,,,,,,,,,,,,,,2022-07-18,20:48:11,0,1,澎湖縣
195956,2022-07-19 09:24:00,A2,澎湖縣西嶼鄉縣道203線31.8公里處(赤馬段),同向擦撞,變換車道或方向不當,死亡0;受傷1,119.506304,23.586223,1: 機車 (普通重型); 2: 小貨車(含客、貨兩用) (自用),普通重型,,,,,自用,,,,,,,,,2022-07-19,09:24:00,0,1,澎湖縣
196004,2022-07-19 10:12:00,A2,澎湖縣馬公市縣202線 300.0公尺處西側向外側,側撞,左轉彎未依規定,死亡0;受傷2,119.601799,23.569363,1: 機車 (普通重型); 2: 機車 (普通重型),普通重型,,,,,,,,,,,,,,2022-07-19,10:12:00,0,2,澎湖縣
196061,2022-07-19 11:08:00,A2,澎湖縣馬公市水源路停車場前岔路口,側撞,違反特定標誌(線)禁制,死亡0;受傷1,119.572531,23.569812,1: 機車 (普通重型); 2: 小客車 (租賃車),普通重型,,租賃車,,,,,,,,,,,,2022-07-19,11:08:00,0,1,澎湖縣
196117,2022-07-19 12:04:00,A2,澎湖縣馬公市西文里文德路口 / 澎湖縣馬公市西文里新明路口,路口交岔撞,未依規定讓車,死亡0;受傷1,119.581408,23.564554,1: 機車 (普通重型); 2: 小客車 (自用),普通重型,,自用,,,,,,,,,,,,2022-07-19,12:04:00,0,1,澎湖縣
196433,2022-07-19 18:00:00,A2,澎湖縣白沙鄉縣道203線與澎10號道岔路口(講美段),側撞,未依規定讓車,死亡0;受傷2,119.598319,23.632616,1: 小貨車(含客、貨兩用) (自用); 2: 機車 (普通重型); 3: 人 (乘客),普通重型,,,乘客,,自用,,,,,,,,,2022-07-19,18:00:00,0,2,澎湖縣
196442,2022-07-19 18:03:00,A2,澎湖縣馬公市西衛里林森路口 / 澎湖縣馬公市西衛里四維路口,路上翻車、摔倒,未注意車前狀態,死亡0;受傷1,119.578287,23.57609,1: 機車 (普通重型); 2:  (),普通重型,,,,,,,,,,,,,,2022-07-19,18:03:00,0,1,澎湖縣
196860,2022-07-20 08:09:00,A2,澎湖縣馬公市光復里新生路口 / 澎湖縣馬公市光復里新村路口,路口交岔撞,違反號誌管制或指揮,死亡0;受傷1,119.570879,23.568901,1: 機車 (普通重型); 2: 小客車 (自用),普通重型,,自用,,,,,,,,,,,,2022-07-20,08:09:00,0,1,澎湖縣
196929,2022-07-20 08:34:00,A2,澎湖縣馬公市新生路與體育場岔路口北側90公尺處道路,撞路樹、電桿,未注意車前狀態,死亡0;受傷6,119.578181,23.569364,1: 小客車 (租賃車); 2:  (); 3: 人 (乘客); 4: 人 (乘客); 5: 人 (乘客); 6: 人 (乘客); 7: 人 (乘客),,,租賃車,乘客,,,,,,,,,,,2022-07-20,08:34:00,0,6,澎湖縣
197083,2022-07-20 10:31:00,A2,澎湖縣馬公市朝陽里朝陽路口 / 澎湖縣馬公市朝陽里朝陽路口,路口交岔撞,未依規定讓車,死亡0;受傷1,119.574773,23.573513,1: 機車 (普通重型); 2: 小客車 (自用),普通重型,,自用,,,,,,,,,,,,2022-07-20,10:31:00,0,1,澎湖縣
197174,2022-07-20 12:02:00,A2,澎湖縣馬公市陽明里中華路215號前0.0公尺,側撞,迴轉未依規定,死亡0;受傷3,119.575227,23.571958,1: 機車 (普通重型); 2: 機車 (普通重型); 3: 人 (乘客),普通重型,,,乘客,,,,,,,,,,,2022-07-20,12:02:00,0,3,澎湖縣
197195,2022-07-20 12:18:00,A2,澎湖縣馬公市大勇街10號旁岔路口,其他,起步未注意其他車(人)安全,死亡0;受傷2,119.572505,23.571556,1: 其他車 (動力機械); 2: 機車 (普通重型); 3: 人 (乘客),普通重型,,,乘客,,,,,,,,,,動力機械,2022-07-20,12:18:00,0,2,澎湖縣
197289,2022-07-20 14:21:55,A2,澎湖縣西嶼鄉澎2號線 1公里500.0公尺處附近,追撞,未保持行車安全距離,死亡0;受傷2,119.516701,23.636074,1: 機車 (普通重型); 2: 機車 (普通重型); 3: 人 (乘客),普通重型,,,乘客,,,,,,,,,,,2022-07-20,14:21:55,0,2,澎湖縣
197409,2022-07-20 16:20:00,A2,澎湖縣馬公市重慶里海埔路口 / 澎湖縣馬公市重慶里民福路口,側撞,未依規定讓車,死亡0;受傷2,119.568439,23.565581,1: 機車 (普通重型); 2: 機車 (普通重型),普通重型,,,,,,,,,,,,,,2022-07-20,16:20:00,0,2,澎湖縣
197527,2022-07-20 17:31:00,A2,澎湖縣馬公市朝陽里陽明路120號前0.0公尺,追撞,未注意車前狀態,死亡0;受傷1,119.572672,23.573222,1: 小客車 (租賃車); 2: 小客車 (自用),,,自用,,,,,,,,,,,,2022-07-20,17:31:00,0,1,澎湖縣
198114,2022-07-21 08:57:00,A2,澎湖縣馬公市西衛里45號旁岔路口,側撞,未依規定讓車,死亡0;受傷2,119.579954,23.580313,1: 機車 (普通重型); 2: 機車 (普通重型); 3: 人 (乘客),普通重型,,,乘客,,,,,,,,,,,2022-07-21,08:57:00,0,2,澎湖縣
198258,2022-07-21 11:01:00,A2,澎湖縣湖西鄉林投村4之2號前岔路口,其他,左轉彎未依規定,死亡0;受傷1,119.643558,23.561063,1: 機車 (普通重型); 2: 小客車 (自用),普通重型,,自用,,,,,,,,,,,,2022-07-21,11:01:00,0,1,澎湖縣
198554,2022-07-21 15:52:00,A2,澎湖縣馬公市縣204線 2公里480.0公尺處口,追撞,未注意車前狀態,死亡0;受傷3,119.601618,23.557957,1: 機車 (普通重型); 2: 小客車 (租賃車); 3: 機車 (普通重型); 4: 人 (乘客),普通重型,,租賃車,乘客,,,,,,,,,,,2022-07-21,15:52:00,0,3,澎湖縣
198850,2022-07-21 19:21:00,A2,澎湖縣馬公市東文里新店路口 / 澎湖縣馬公市東文里文德路口,其他,未注意車前狀態,死亡0;受傷1,119.580554,23.563457,1: 機車 (普通重型); 2: 小客車 (租賃車),普通重型,,租賃車,,,,,,,,,,,,2022-07-21,19:21:00,0,1,澎湖縣
199396,2022-07-22 10:58:00,A2,澎湖縣湖西鄉縣203線 6公里510.0公尺處北側向內側,其他,迴轉未依規定,死亡0;受傷3,119.610166,23.587599,1: 機車 (普通重型); 2: 機車 (普通重型); 3: 人 (乘客),普通重型,,,乘客,,,,,,,,,,,2022-07-22,10:58:00,0,3,澎湖縣
199497,2022-07-22 12:16:00,A2,澎湖縣馬公市縣204線 3公里950.0公尺處西側向外側,路上翻車、摔倒,未注意車前狀態,死亡0;受傷1,119.613485,23.551006,1: 機車 (普通重型); 2:  (),普通重型,,,,,,,,,,,,,,2022-07-22,12:16:00,0,1,澎湖縣
199791,2022-07-22 16:55:00,A2,澎湖縣湖西鄉成功村縣202線道路口 / 澎湖縣湖西鄉成功村澎11號道口,側撞,未依規定讓車,死亡0;受傷2,119.622845,23.579638,1: 機車 (普通重型); 2: 大客車 (遊覽車); 3: 人 (乘客),普通重型,,,乘客,,,,,,遊覽車,,,,,2022-07-22,16:55:00,0,2,澎湖縣
200520,2022-07-23 12:07:00,A2,澎湖縣馬公市光明里光復路173號前0.0公尺南側,側撞,迴轉未依規定,死亡0;受傷1,119.571937,23.572998,1: 小客車 (自用); 2: 機車 (普通重型),普通重型,,自用,,,,,,,,,,,,2022-07-23,12:07:00,0,1,澎湖縣
201191,2022-07-24 08:00:00,A2,澎湖縣馬公市陽明里光復路口 / 澎湖縣馬公市陽明里大勇街口,側撞,未依規定讓車,死亡0;受傷2,119.571204,23.572356,1: 機車 (普通重型); 2: 機車 (普通重型),普通重型,,,,,,,,,,,,,,2022-07-24,08:00:00,0,2,澎湖縣
201549,2022-07-24 15:05:00,A2,澎湖縣西嶼鄉澎6號道2.03公里處岔路口(外垵段),對向擦撞,未靠右行駛,死亡0;受傷2,119.47344,23.56311,1: 小貨車(含客、貨兩用) (自用); 2: 機車 (普通重型); 3: 人 (乘客),普通重型,,,乘客,,自用,,,,,,,,,2022-07-24,15:05:00,0,2,澎湖縣
201564,2022-07-24 15:22:00,A2,澎湖縣馬公市縣204線 4公里900.0公尺處南側向外側,同向擦撞,左轉彎未依規定,死亡0;受傷3,119.62198,23.550165,1: 機車 (普通重型); 2: 機車 (普通重型); 3: 人 (乘客),普通重型,,,乘客,,,,,,,,,,,2022-07-24,15:22:00,0,3,澎湖縣
201724,2022-07-24 17:50:00,A2,澎湖縣馬公市縣203線 5公里220.0公尺處北側向機、慢車道,側撞,變換車道或方向不當,死亡0;受傷1,119.603757,23.578065,1: 小客車 (自用); 2: 機車 (普通重型),普通重型,,自用,,,,,,,,,,,,2022-07-24,17:50:00,0,1,澎湖縣
201886,2022-07-24 21:05:00,A2,澎湖縣馬公市陽明里海埔路附近 / 澎湖縣馬公市陽明里新村路附近,側撞,起步未注意其他車(人)安全,死亡0;受傷1,119.571221,23.567808,1: 機車 (普通重型); 2: 小客車 (租賃車),普通重型,,租賃車,,,,,,,,,,,,2022-07-24,21:05:00,0,1,澎湖縣
202233,2022-07-25 10:01:00,A2,澎湖縣西嶼鄉縣203線 22公里600.0公尺處南側,路上翻車、摔倒,其他引起事故之故障,死亡0;受傷2,119.544707,23.646216,1: 機車 (普通重型); 2:  (); 3: 人 (乘客),普通重型,,,乘客,,,,,,,,,,,2022-07-25,10:01:00,0,2,澎湖縣
202265,2022-07-25 10:30:00,A2,澎湖縣望安鄉澎34號線 7公里2.0公尺處,路上翻車、摔倒,未注意車前狀態,死亡0;受傷1,119.5032,23.378187,1: 機車 (普通重型); 2:  (),普通重型,,,,,,,,,,,,,,2022-07-25,10:30:00,0,1,澎湖縣
202787,2022-07-25 18:18:00,A2,澎湖縣馬公市西文里文學路口 / 澎湖縣馬公市西文里文前街口,追撞,未保持行車安全距離,死亡0;受傷1,119.582521,23.563657,1: 機車 (普通重型); 2: 機車 (普通重型),普通重型,,,,,,,,,,,,,,2022-07-25,18:18:00,0,1,澎湖縣
202967,2022-07-25 23:55:00,A2,澎湖縣馬公市縣204線 3公里600.0公尺處西側向外側,側撞,未依規定讓車,死亡0;受傷1,119.61158,23.552049,1: 小客車 (租賃車); 2: 機車 (普通重型),普通重型,,租賃車,,,,,,,,,,,,2022-07-25,23:55:00,0,1,澎湖縣
203317,2022-07-26 10:33:00,A2,澎湖縣馬公市澎27號道0.97公里處岔路口,側撞,右轉彎未依規定,死亡0;受傷1,119.600722,23.529701,1: 小客車 (自用); 2: 機車 (普通重型),普通重型,,自用,,,,,,,,,,,,2022-07-26,10:33:00,0,1,澎湖縣
203487,2022-07-26 13:34:52,A2,澎湖縣西嶼鄉縣203線 30公里100.0公尺處,追撞,未保持行車安全距離,死亡0;受傷3,119.509157,23.59843,1: 機車 (普通重型); 2: 機車 (普通重型); 3: 人 (乘客),普通重型,,,乘客,,,,,,,,,,,2022-07-26,13:34:52,0,3,澎湖縣
203491,2022-07-26 13:37:00,A2,澎湖縣馬公市重慶里民福路口 / 澎湖縣馬公市重慶里興港南街口,穿越道路中,未注意車前狀態,死亡0;受傷1,119.568438,23.565553,1: 小客車 (自用); 2: 人 (行人),,,自用,行人,,,,,,,,,,,2022-07-26,13:37:00,0,1,澎湖縣
203599,2022-07-26 15:56:00,A2,澎湖縣馬公市縣203線 5公里10.0公尺處南側向外側,同向擦撞,未保持行車安全間隔,死亡0;受傷1,119.60245,23.575976,1: 機車 (普通重型); 2: 慢車 (電動輔助自行車),普通重型,,,,電動輔助自行車,,,,,,,,,,2022-07-26,15:56:00,0,1,澎湖縣
204197,2022-07-27 08:29:00,A2,澎湖縣馬公市陽明里新生路口 / 澎湖縣馬公市陽明里新村路口,側撞,未保持行車安全間隔,死亡0;受傷2,119.57089,23.568886,1: 機車 (普通重型); 2: 慢車 (腳踏自行車),普通重型,,,,腳踏自行車,,,,,,,,,,2022-07-27,08:29:00,0,2,澎湖縣
204293,2022-07-27 09:38:00,A2,澎湖縣馬公市東衛里縣203線道路口 / 澎湖縣馬公市東衛里縣202線道路口,同向擦撞,逆向行駛,死亡0;受傷2,119.598615,23.568991,1: 機車 (普通重型); 2: 小客車 (自用); 3: 人 (乘客),普通重型,,自用,乘客,,,,,,,,,,,2022-07-27,09:38:00,0,2,澎湖縣
204439,2022-07-27 12:11:00,A2,澎湖縣馬公市重慶里民權路口 / 澎湖縣馬公市重慶里中興路口,路口交岔撞,未依規定讓車,死亡0;受傷2,119.567759,23.566575,1: 機車 (普通重型); 2: 小客車 (自用); 3: 小客車 (租賃車); 4: 人 (乘客),普通重型,,租賃車,乘客,,,,,,,,,,,2022-07-27,12:11:00,0,2,澎湖縣
204501,2022-07-27 13:23:00,A2,澎湖縣馬公市石泉里98號前岔路口,側撞,未依規定讓車,死亡0;受傷2,119.597704,23.558472,1: 機車 (普通重型); 2: 機車 (普通重型),普通重型,,,,,,,,,,,,,,2022-07-27,13:23:00,0,2,澎湖縣
204528,2022-07-27 14:07:00,A2,澎湖縣馬公市石泉里縣204線道口 / 澎湖縣馬公市石泉里澎23號道口,側撞,未依規定讓車,死亡0;受傷1,119.594961,23.560827,1: 小客車 (自用); 2: 機車 (普通重型); 3: 人 (乘客),普通重型,,自用,乘客,,,,,,,,,,,2022-07-27,14:07:00,0,1,澎湖縣
204695,2022-07-27 16:48:00,A2,澎湖縣湖西鄉縣202線 1公里850.0公尺處口,側撞,未依規定讓車,死亡0;受傷1,119.616121,23.572411,1: 小客車 (自用); 2: 機車 (普通重型),普通重型,,自用,,,,,,,,,,,,2022-07-27,16:48:00,0,1,澎湖縣
204761,2022-07-27 17:25:00,A2,澎湖縣馬公市同和路6號前道路,其他,未注意車前狀態,死亡0;受傷1,119.576444,23.571679,1: 機車 (普通重型); 2: 小客車 (自用),普通重型,,自用,,,,,,,,,,,,2022-07-27,17:25:00,0,1,澎湖縣
205046,2022-07-28 00:41:00,A2,澎湖縣馬公市縣203線 4公里300.0公尺處南側向外側,其他,未注意車前狀態,死亡0;受傷1,119.599256,23.571094,1: 小客車 (自用); 2:  (),,,自用,,,,,,,,,,,,2022-07-28,00:41:00,0,1,澎湖縣
205208,2022-07-28 08:06:00,A2,澎湖縣馬公市東衛里27之5號旁岔路口,側撞,未依規定讓車,死亡0;受傷2,119.600307,23.568835,1: 機車 (普通重型); 2: 機車 (普通重型); 3: 人 (乘客),普通重型,,,乘客,,,,,,,,,,,2022-07-28,08:06:00,0,2,澎湖縣
205635,2022-07-28 14:52:00,A2,澎湖縣馬公市縣202線 300.0公尺處口,同向擦撞,未保持行車安全間隔,死亡0;受傷2,119.601287,23.569306,1: 機車 (普通重型); 2: 小客車 (自用); 3: 人 (乘客),普通重型,,自用,乘客,,,,,,,,,,,2022-07-28,14:52:00,0,2,澎湖縣
206652,2022-07-29 15:43:00,A2,澎湖縣西嶼鄉縣道203線與澎5號道岔路口(池東段),路口交岔撞,未依規定讓車,死亡0;受傷7,119.509807,23.600092,1: 小客車 (租賃車); 2: 小客車 (租賃車); 3: 人 (乘客); 4: 人 (乘客); 5: 人 (乘客); 6: 人 (乘客); 7: 人 (乘客); 8: 人 (乘客),,,租賃車,乘客,,,,,,,,,,,2022-07-29,15:43:00,0,7,澎湖縣
207203,2022-07-30 07:32:00,A2,澎湖縣馬公市縣204線 1公里500.0公尺處西側向外側,同向擦撞,未保持行車安全間隔,死亡0;受傷1,119.593452,23.561866,1: 小客車 (自用); 2: 機車 (普通重型),普通重型,,自用,,,,,,,,,,,,2022-07-30,07:32:00,0,1,澎湖縣
207474,2022-07-30 11:38:00,A2,澎湖縣馬公市朝陽里朝陽路口 / 澎湖縣馬公市朝陽里朝陽路口,路口交岔撞,未依規定讓車,死亡0;受傷1,119.574751,23.573541,1: 機車 (普通重型); 2: 機車 (普通重型),普通重型,,,,,,,,,,,,,,2022-07-30,11:38:00,0,1,澎湖縣
207529,2022-07-30 12:27:00,A2,澎湖縣馬公市中興里治平路口 / 澎湖縣馬公市中興里忠孝路口,側撞,未依規定讓車,死亡0;受傷3,119.567006,23.569602,1: 小客車 (自用); 2: 機車 (普通重型); 3: 人 (乘客); 4: 人 (乘客); 5: 人 (乘客),普通重型,,自用,乘客,,,,,,,,,,,2022-07-30,12:27:00,0,3,澎湖縣
207809,2022-07-30 17:53:00,A2,澎湖縣西嶼鄉池西村133號往北300公尺處,在路上嬉戲,在道路上嬉戲或奔走不定,死亡0;受傷1,119.502876,23.603038,1: 人 (行人); 2: 小客車 (自用),,,自用,行人,,,,,,,,,,,2022-07-30,17:53:00,0,1,澎湖縣
208165,2022-07-31 09:44:00,A2,澎湖縣馬公市西文里新店路口 / 澎湖縣馬公市西文里文學路口,其他,起步未注意其他車(人)安全,死亡0;受傷1,119.582459,23.56317,1: 機車 (普通重型); 2: 小客車 (自用),普通重型,,自用,,,,,,,,,,,,2022-07-31,09:44:00,0,1,澎湖縣
208272,2022-07-31 11:53:00,A2,澎湖縣馬公市中興里治平路口 / 澎湖縣馬公市中興里忠孝路口,側撞,未依規定讓車,死亡0;受傷1,119.567009,23.569599,1: 小客車 (租賃車); 2: 機車 (普通重型),普通重型,,租賃車,,,,,,,,,,,,2022-07-31,11:53:00,0,1,澎湖縣
209198,2022-08-01 13:12:00,A2,澎湖縣馬公市西衛里45號旁岔路口,側撞,未依規定讓車,死亡0;受傷1,119.579951,23.580319,1: 小客車 (自用); 2: 機車 (普通重型),普通重型,,自用,,,,,,,,,,,,2022-08-01,13:12:00,0,1,澎湖縣
209263,2022-08-01 14:39:00,A2,澎湖縣白沙鄉縣道203線與澎2號道岔路口(竹灣段),對向擦撞,逆向行駛,死亡0;受傷2,119.516986,23.635546,1: 機車 (普通重型); 2: 小客車 (自用); 3: 人 (乘客),普通重型,,自用,乘客,,,,,,,,,,,2022-08-01,14:39:00,0,2,澎湖縣
209281,2022-08-01 14:58:00,A2,澎湖縣馬公市陽明里新生路口 / 澎湖縣馬公市陽明里永泰街口,追撞,未保持行車安全距離,死亡0;受傷2,119.577068,23.568761,1: 機車 (普通重型); 2: 機車 (普通重型),普通重型,,,,,,,,,,,,,,2022-08-01,14:58:00,0,2,澎湖縣
209610,2022-08-01 20:35:00,A2,澎湖縣湖西鄉澎14號道0.3公里處,穿越道路中,未注意車前狀態,死亡0;受傷2,119.668667,23.585693,1: 機車 (普通重型); 2: 人 (行人),普通重型,,,行人,,,,,,,,,,,2022-08-01,20:35:00,0,2,澎湖縣
209623,2022-08-01 20:53:00,A2,澎湖縣湖西鄉縣202線 5公里300.0公尺處東側向外側,路口交岔撞,未依規定讓車,死亡0;受傷1,119.637342,23.581561,1: 小客車 (自用); 2: 機車 (普通重型),普通重型,,自用,,,,,,,,,,,,2022-08-01,20:53:00,0,1,澎湖縣
209647,2022-08-01 21:43:00,A2,澎湖縣馬公市鎖港里345號旁岔路口,路上翻車、摔倒,未注意車前狀態,死亡0;受傷1,119.603488,23.529216,1: 機車 (普通重型); 2:  (),普通重型,,,,,,,,,,,,,,2022-08-01,21:43:00,0,1,澎湖縣
209677,2022-08-01 22:45:00,A2,澎湖縣西嶼鄉西嶼鄉外垵村三仙塔觀景臺旁道路(外垵段),衝出路外,未注意車前狀態,死亡0;受傷2,119.477373,23.563859,1: 機車 (普通重型); 2:  (); 3: 人 (乘客),普通重型,,,乘客,,,,,,,,,,,2022-08-01,22:45:00,0,2,澎湖縣
209684,2022-08-01 23:16:00,A2,澎湖縣馬公市東衛里縣203線道路口 / 澎湖縣馬公市東衛里縣202線道路口,路口交岔撞,違反號誌管制或指揮,死亡0;受傷1,119.598601,23.56897,1: 小貨車(含客、貨兩用) (自用); 2: 機車 (普通重型),普通重型,,,,,自用,,,,,,,,,2022-08-01,23:16:00,0,1,澎湖縣
209965,2022-08-02 09:21:00,A2,澎湖縣馬公市重慶里海埔路口 / 澎湖縣馬公市重慶里民福路口,其他,未依規定讓車,死亡0;受傷1,119.56891,23.566008,1: 機車 (普通重型); 2: 機車 (普通重型); 3: 小客車 (自用),普通重型,,自用,,,,,,,,,,,,2022-08-02,09:21:00,0,1,澎湖縣
210433,2022-08-02 17:11:00,A2,澎湖縣馬公市縣201線 2公里650.0公尺處口,側撞,未依規定讓車,死亡0;受傷1,119.600879,23.531107,1: 機車 (普通重型); 2: 機車 (普通重型),普通重型,,,,,,,,,,,,,,2022-08-02,17:11:00,0,1,澎湖縣
210530,2022-08-02 18:40:00,A2,澎湖縣白沙鄉講美村17-4號往東150公尺處,路上翻車、摔倒,未注意車前狀態,死亡0;受傷1,119.603708,23.633577,1: 機車 (普通重型); 2:  (),普通重型,,,,,,,,,,,,,,2022-08-02,18:40:00,0,1,澎湖縣
210561,2022-08-02 19:07:00,A2,澎湖縣馬公市石泉里澎23號道路口 / 澎湖縣馬公市石泉里澎28號道路口,側撞,未注意車前狀態,死亡0;受傷2,119.593737,23.557557,1: 小貨車(含客、貨兩用) (自用); 2: 機車 (普通重型); 3: 人 (乘客),普通重型,,,乘客,,自用,,,,,,,,,2022-08-02,19:07:00,0,2,澎湖縣
210850,2022-08-03 07:56:00,A2,澎湖縣馬公市光明里光復路口 / 澎湖縣馬公市光明里北辰街口,其他,起步未注意其他車(人)安全,死亡0;受傷1,119.570176,23.57125,1: 機車 (普通重型); 2: 機車 (普通重型),普通重型,,,,,,,,,,,,,,2022-08-03,07:56:00,0,1,澎湖縣
211262,2022-08-03 14:38:00,A2,澎湖縣湖西鄉縣203線 8公里500.0公尺處北側向外側,路上翻車、摔倒,未注意車前狀態,死亡0;受傷2,119.612723,23.604255,1: 機車 (普通重型); 2:  (); 3: 人 (乘客),普通重型,,,乘客,,,,,,,,,,,2022-08-03,14:38:00,0,2,澎湖縣
211321,2022-08-03 15:47:00,A2,澎湖縣馬公市啟明里中正路口 / 澎湖縣馬公市啟明里惠民路口,其他,起步未注意其他車(人)安全,死亡0;受傷1,119.565256,23.564772,1: 機車 (普通重型); 2: 小客車 (租賃車),普通重型,,租賃車,,,,,,,,,,,,2022-08-03,15:47:00,0,1,澎湖縣
211980,2022-08-04 09:09:00,A2,澎湖縣馬公市西衛里四維路320號前0.0公尺東側,撞動物,未注意車前狀態,死亡0;受傷1,119.573662,23.578154,1: 機車 (普通重型); 2:  (),普通重型,,,,,,,,,,,,,,2022-08-04,09:09:00,0,1,澎湖縣
212161,2022-08-04 12:00:00,A2,澎湖縣西嶼鄉縣道203線30.5公里處岔路口(池東段),路口交岔撞,未依規定讓車,死亡0;受傷2,119.508596,23.597177,1: 機車 (普通重型); 2: 小貨車(含客、貨兩用) (自用); 3: 人 (乘客),普通重型,,,乘客,,自用,,,,,,,,,2022-08-04,12:00:00,0,2,澎湖縣
212190,2022-08-04 12:17:00,A2,澎湖縣馬公市啟明里仁愛路口 / 澎湖縣馬公市啟明里建國路口,路口交岔撞,未依規定讓車,死亡0;受傷1,119.566091,23.565414,1: 機車 (普通重型); 2: 小客車 (計程車),普通重型,,計程車,,,,,,,,,,,,2022-08-04,12:17:00,0,1,澎湖縣
212290,2022-08-04 14:21:00,A2,澎湖縣馬公市山水里120之10號南側800公尺處,撞護欄(樁),未注意車前狀態,死亡0;受傷1,119.585491,23.515293,1: 機車 (普通重型); 2:  (),普通重型,,,,,,,,,,,,,,2022-08-04,14:21:00,0,1,澎湖縣
212450,2022-08-04 16:43:00,A2,澎湖縣馬公市中興里中正路口 / 澎湖縣馬公市中興里民生路口,側撞,未依規定讓車,死亡0;受傷1,119.566016,23.567624,1: 機車 (普通重型); 2: 小客車 (自用),普通重型,,自用,,,,,,,,,,,,2022-08-04,16:43:00,0,1,澎湖縣
